bpm,genre,title,artist
173,NU STYLE GABBA,THE DEEP STRIKER,L.E.D.-G
150,ETHNOTRONICA,the trigger of innocence,Seiya Murai
191,DANCE SPEED,Time to Air,青龍
177,ULTIMATE CORE,TROOPERS,Des-TRACT
174,PROGRESSIVE BAROQUE,Übertreffen,TAKA respect for J.S.B.
128,PIANO HOUSE,Wanna Party?,RAM
140,TRIBAL,2 tribe 4 K,Remo-con
125,80´s EURO,エコ爺,Y&Co.
90-192,POST RENAISSANCE,少年A,Remixed by 少年ラジオ
68-85,SOLDIER´S BALLAD,走馬灯 -The Last Song-,TAKA
160,HYPER JAPANESQUE 2,華爛漫 -Flowers-,TЁЯRA
152,EDUCATION,マチ子の唄,AKIRA YAMAOKA
144,FUSION,ミラージュ・レジデンス,Jimmy Weckl
145,HARD CORE,ALL I NEED YOUR LOVE,GUHROOVY fw. M-Project
170,ONLY ONE EURO BEAT,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-
180,ARABIC HARDCORE,Arabian Rave Night,dj MAX STEROID
170,RECKLESS RAVE,B4U(BEMANI FOR YOU MIX),Remixed by DJ YOSHITAKA with Michael a la mode
155,HOUSE,Bahram Attack-猫叉Master Remix-,猫叉Master feat.JUNE
165,JUMPSTYLE,BITTER CHOCOLATE STRIKER,L.E.D.-G
138,HAPPY ☆ JIG,BRIDAL FESTIVAL !!!,S.S.D. with ななっち
175,NOSTALISH REQUIEM,CaptivAte2～覚醒～,e-lma
180,HAPPY HARDCORE,Colorful Cookie,Lucky Vacuum
146,BUCHIAGE TRANCE,Cyber Force -DJ Yoshitaka Remix-,Remixed by DJ YOSHITAKA
155,MEGA MIX,Flash Back 90's,kors k as disconation
150,DREAM TRANCE,Fly Above,Sota Fujimori
200,TRANCE CORE,Go Beyond!!,Ryu☆ Vs. Sota
150,MORNING FULL ON,HYPERION,L.E.D.
147,TECHNO POP,I'm Screaming LOVE,Creative Life
116,MIXTURE,Jack,DesQ
136,NU SKOOL BREAKS,Just a Little Smile,Sota Fujimori
177,ASIAN JANGLE,Kung-fu Empire,飛燕流舞
128,ELECTRO-TECH,Mind Mapping,Ryu☆
155,EUROBEAT,Monkey Dance '09,Y&Co. Feat. DOMINO
148,TRANCE,MY FUTURE,PINK PONG
